CERiT,Simbad,ASAS-SN Photometry
https://wasp.cerit-sc.cz/search?objid=J003310.79%2B415928.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A33%3A10.79+%2B41%3A59%3A28.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A33%3A10.79&dec=%2B41%3A59%3A28.5&radius=2
https://wasp.cerit-sc.cz/search?objid=J001045.58%2B094303.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A10%3A45.58+%2B09%3A43%3A03.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A10%3A45.58&dec=%2B09%3A43%3A03.5&radius=2
https://wasp.cerit-sc.cz/search?objid=J000405.10-165951.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A04%3A05.10+-16%3A59%3A51.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A04%3A05.10&dec=-16%3A59%3A51.5&radius=2
https://wasp.cerit-sc.cz/search?objid=J005659.13%2B163754.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A56%3A59.13+%2B16%3A37%3A54.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A56%3A59.13&dec=%2B16%3A37%3A54.2&radius=2
https://wasp.cerit-sc.cz/search?objid=J010102.33%2B144658.8&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=01%3A01%3A02.33+%2B14%3A46%3A58.8&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=01%3A01%3A02.33&dec=%2B14%3A46%3A58.8&radius=2
https://wasp.cerit-sc.cz/search?objid=J005020.35%2B260049.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A50%3A20.35+%2B26%3A00%3A49.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A50%3A20.35&dec=%2B26%3A00%3A49.2&radius=2
https://wasp.cerit-sc.cz/search?objid=J122258.47%2B071422.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=12%3A22%3A58.47+%2B07%3A14%3A22.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=12%3A22%3A58.47&dec=%2B07%3A14%3A22.3&radius=2
No match,No match,No match
https://wasp.cerit-sc.cz/search?objid=J102155.21-034426.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=10%3A21%3A55.21+-03%3A44%3A26.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=10%3A21%3A55.21&dec=-03%3A44%3A26.3&radius=2
No match,No match,No match
