,subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
0,20860262,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000001.JPG"",""datetime"":""2015:12:21 16:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2e64c588-6bc3-4c41-a89e-b880de418307.jpeg""}",10,2018-09-20 08:35:22 UTC,classification_count
1,20860263,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000002.JPG"",""datetime"":""2015:12:21 17:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/582fe449-20d0-4a1d-ab2e-6b4457cbd8b5.jpeg""}",10,2018-06-22 01:15:08 UTC,classification_count
2,20860264,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000003.JPG"",""datetime"":""2015:12:21 18:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/bc2e6ca8-4dc6-4993-8ad4-e4698e0b8a51.jpeg""}",10,2018-07-11 18:24:49 UTC,classification_count
3,20860265,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000004.JPG"",""datetime"":""2015:12:21 19:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2a07157d-5868-43dc-83a3-81f53df6f96b.jpeg""}",10,2018-08-03 17:22:54 UTC,classification_count
4,20860266,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000005.JPG"",""datetime"":""2015:12:21 20:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/80995e7f-ae5c-4f3d-acba-2fc1aae7d3d7.jpeg""}",10,2018-06-23 16:32:20 UTC,classification_count
5,20860267,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000006.JPG"",""datetime"":""2015:12:21 21:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/47133308-21a7-4221-be4a-60c966fc7088.jpeg""}",10,2018-09-14 16:54:54 UTC,classification_count
6,20860268,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000007.JPG"",""datetime"":""2015:12:21 22:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/eb13cb93-7104-43f0-8a97-080a76e4fbb1.jpeg""}",10,2018-08-12 02:07:47 UTC,classification_count
7,20860269,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000008.JPG"",""datetime"":""2015:12:21 23:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6f4dfe0f-e7ed-4f3d-8307-2feef762d8ef.jpeg""}",10,2018-09-14 14:33:43 UTC,classification_count
8,20860270,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000009.JPG"",""datetime"":""2015:12:22 00:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/062772cd-e5e8-4867-98ee-a1b2a7aff1a3.jpeg""}",7,2018-07-18 11:21:52 UTC,nothing_here
9,20860271,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000010.JPG"",""datetime"":""2015:12:22 01:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/b574355e-fa15-420e-a088-559437b21866.jpeg""}",10,2018-09-06 17:30:32 UTC,classification_count
