classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.aggregation_version,data.frame0.T0_tool0_x,data.frame0.T0_tool0_y,data.frame0.T0_tool1_x,data.frame0.T0_tool1_y,data.frame0.T0_tool2_x,data.frame0.T0_tool2_y
103499132,not-logged-in-4265a4be250038b1e792,,6465,T0,2018-04-25 16:38:58 UTC,20860311,point_extractor_by_frame,3.4.5,"[473.46875, 704.46875, 839.46875, 567.46875, 236.46875, 92.46875, 30.46875, 5.46875, 120.46875, 413.46875, 552.46875, 628.46875, 437.46875, 470.46875, 503.46875, 530.46875, 972.46875, 936.46875, 886.46875, 803.46875, 808.46875, 741.46875, 702.46875]","[472, 379, 307, 325, 363, 506, 416, 345, 309, 276, 282, 243, 161, 186, 194, 198, 159, 135, 124, 117, 136, 139, 142]","[485.46875, 455.46875, 671.46875]","[528, 543, 419]",,
103566397,not-logged-in-25b4799fce23727ec1bd,,6465,T0,2018-04-25 21:16:33 UTC,20860311,point_extractor_by_frame,3.4.5,"[240.33592224121094, 117.59526062011719, 36.586429595947266, 9.58348274230957, 416.2641906738281, 501.3643798828125, 531.6404418945312, 473.5431823730469, 435.0844421386719, 483.3624267578125, 539.0048828125, 627.0726318359375, 568.9754028320312, 708.0814819335938, 835.7317504882812, 810.3653564453125, 805.4557495117188, 744.0853881835938, 971.9066772460938, 886.8064575195312, 97.59526824951172]","[366.636474609375, 310.1757507324219, 414.9144592285156, 343.7248840332031, 279.0814514160156, 197.2543487548828, 197.2543487548828, 184.16201782226562, 159.6138916015625, 456.6462707519531, 282.35455322265625, 244.71408081054688, 329.81427001953125, 396.9125061035156, 311.81231689453125, 143.2484588623047, 117.88206481933594, 132.61094665527344, 159.9753875732422, 121.51663970947266, 501.802490234375]","[668.804443359375, 459.2318115234375]","[396.4557189941406, 544.3526000976562]",,
103639140,not-logged-in-ac7ce2561f736e5bdba5,,6465,T0,2018-04-26 10:51:50 UTC,20860311,point_extractor_by_frame,3.4.5,"[468.35186767578125, 86.47799682617188, 112.28028106689453, 38.743751525878906, 19.392032623291016, 256.7731018066406, 409.0066223144531, 535.4378051757812, 64.5460433959961, 104.53958892822266, 157.4342803955078, 32.29317855834961, 424.48797607421875, 522.5366821289062, 580.5918579101562, 699.2823486328125, 762.4979858398438, 817.972900390625, 909.571044921875, 945.6942138671875, 877.3181762695312, 980.52734375, 830.8740234375, 621.87548828125, 596.0732421875]","[480.7087707519531, 497.480224609375, 320.7345275878906, 416.2030334472656, 351.6972961425781, 368.4687805175781, 289.7718200683594, 282.0311279296875, 194.3033447265625, 196.88356018066406, 185.2725372314453, 227.8463134765625, 155.5998992919922, 204.62425231933594, 138.8284149169922, 137.53829956054688, 140.1185302734375, 125.9272689819336, 119.47669982910156, 133.66795349121094, 123.34703826904297, 167.2109375, 323.3147888183594, 238.167236328125, 323.3147888183594]","[458.0309753417969, 669.6097412109375]","[545.2144775390625, 422.6535949707031]",,
105060690,not-logged-in-4ccd2c468665de5b880a,,6465,T0,2018-05-01 14:56:59 UTC,20860311,point_extractor_by_frame,3.4.5,"[240.5659637451172, 118.56597137451172, 12.565970420837402, 41.56597137451172, 83.56597137451172, 413.56597900390625, 438.56597900390625, 500.56597900390625, 532.5659790039062, 539.5659790039062, 628.5659790039062, 562.5659790039062, 844.5659790039062, 807.5659790039062, 806.5659790039062, 742.5659790039062, 886.5659790039062, 936.5659790039062, 975.5659790039062, 702.5659790039062, 453.56597900390625]","[362.68402099609375, 304.68402099609375, 344.68402099609375, 397.68402099609375, 482.68402099609375, 290.68402099609375, 155.68402099609375, 189.68402099609375, 196.68402099609375, 281.68402099609375, 240.68402099609375, 321.68402099609375, 311.68402099609375, 139.68402099609375, 116.68402862548828, 136.68402099609375, 124.68402862548828, 135.68402099609375, 159.68402099609375, 369.68402099609375, 478.68402099609375]","[672.5659790039062, 453.56597900390625, 480.56597900390625]","[408.68402099609375, 550.6840209960938, 526.6840209960938]",,
111645797,not-logged-in-9c0f7da2bbb5a5a40705,,6465,T0,2018-05-28 01:59:56 UTC,20860311,point_extractor_by_frame,3.4.5,"[489.78466796875, 681.0359497070312, 599.6524047851562, 843.802978515625, 77.4415054321289, 40.81892013549805, 12.33469009399414, 237.49575805664062, 405.6883544921875, 539.97119140625]","[445.74432373046875, 350.796875, 329.0946044921875, 296.54119873046875, 489.14886474609375, 395.5578308105469, 327.73822021484375, 367.0735778808594, 287.04644775390625, 278.9081115722656]",,,,
113209853,Ebeths2018,1784204.0,6465,T0,2018-06-06 00:17:31 UTC,20860311,point_extractor_by_frame,3.4.5,"[93.04917907714844, 29.28262710571289, 4.424479961395264, 111.42259216308594, 227.06700134277344, 460.5174255371094, 703.6949462890625, 570.7578735351562, 543.7381591796875, 418.3666687011719, 539.4150390625, 501.58740234375, 471.3253173828125, 441.063232421875, 588.050537109375, 677.7559814453125, 736.1185913085938, 696.12939453125, 807.45068359375, 879.863525390625, 803.1275634765625, 928.4990844726562, 964.1651000976562, 982.5385131835938, 838.7935791015625, 629.1204833984375, 178.43150329589844, 60.62550735473633, 89.80680847167969, 157.89651489257812, 115.74574279785156, 136.28073120117188]","[527.0197143554688, 436.23345947265625, 359.4974365234375, 311.9427185058594, 374.62847900390625, 494.5960693359375, 365.982177734375, 322.7506103515625, 284.9230041503906, 280.5998229980469, 199.54066467285156, 196.2982940673828, 185.4904022216797, 163.8746337890625, 137.93569946289062, 146.58200073242188, 142.25885009765625, 133.61253356933594, 139.0164794921875, 130.3701629638672, 117.40070343017578, 127.12779998779297, 166.0362091064453, 64.4420394897461, 318.4274597167969, 250.33775329589844, 186.57119750976562, 196.2982940673828, 194.13671875, 182.248046875, 196.2982940673828, 186.57119750976562]",,,,
113830174,Penguinidentifier,1796957.0,6465,T0,2018-06-10 20:10:14 UTC,20860311,point_extractor_by_frame,3.4.5,"[701.96875, 567.96875, 539.96875, 839.96875, 633.429931640625, 414.36993408203125, 466.9825744628906, 240.1260528564453, 9.586935997009277, 38.76304626464844, 85.63614654541016, 121.03012084960938, 437.134033203125, 469.5611267089844, 501.6395263671875, 530.579833984375, 585.6710205078125, 739.4827270507812, 805.7316284179688, 809.5670776367188, 887.3223266601562, 936.2653198242188, 975.6659545898438]","[377, 327, 277, 299, 243.94664001464844, 284.12359619140625, 471.1376953125, 360.7755126953125, 354.55767822265625, 399.0392761230469, 493.2637634277344, 313.42413330078125, 158.75021362304688, 182.46034240722656, 192.9207000732422, 192.9207000732422, 142.36233520507812, 135.87554931640625, 119.48765563964844, 142.84912109375, 125.41519165039062, 127.25748443603516, 162.4739990234375]",[472.94329833984375],[537.125244140625],,
117027899,sbaugh6,1689882.0,6465,T0,2018-07-12 17:57:38 UTC,20860311,point_extractor_by_frame,3.4.5,"[848.752197265625, 668.5243530273438, 567.6421508789062, 554.0400390625, 466.7598876953125, 415.75201416015625, 245.72573852539062, 83.63402557373047, 64.3643798828125, 34.89316177368164, 121.03980255126953, 644.720703125, 549.5059814453125, 495.09759521484375, 431.6211242675781, 471.2939147949219, 693.4615478515625, 741.0689086914062, 812.47998046875, 807.9459228515625, 892.9590454101562, 934.8988647460938, 967.7706298828125, 585.7782592773438, 195.8513641357422, 159.57908630371094, 114.23875427246094, 76.83297729492188]","[310.538818359375, 383.0833435058594, 337.7430114746094, 293.53619384765625, 486.2326354980469, 296.93670654296875, 370.61474609375, 497.56768798828125, 417.0885925292969, 346.8110656738281, 309.4053039550781, 247.0623321533203, 201.7220001220703, 202.85549926757812, 160.9156951904297, 185.85287475585938, 138.2455291748047, 142.77955627441406, 107.64079284667969, 135.97850036621094, 113.30833435058594, 128.0439453125, 141.6460418701172, 141.6460418701172, 176.78480529785156, 180.18533325195312, 191.52041625976562, 200.58848571777344]","[474.6944274902344, 662.8568115234375]","[546.3085327148438, 426.15667724609375]",,
123206091,AKS59,1708483.0,6465,T0,2018-09-10 17:51:56 UTC,20860311,point_extractor_by_frame,3.4.5,"[969.8690185546875, 935.3070068359375, 872.8294677734375, 809.022705078125, 809.022705078125, 749.2037963867188, 846.2433471679688, 697.3607788085938, 571.0764770507812, 545.819580078125, 649.5056762695312, 544.4902954101562, 500.62310791015625, 402.2542724609375, 428.8404541015625, 503.28173828125, 256.0303649902344, 19.41344451904297, 27.38929557800293, 69.92716979980469, 43.34099578857422, 36.694454193115234, 201.52870178222656, 55.30477523803711, 160.3201446533203, 77.90301513671875, 145.69775390625, 97.84264373779297, 129.7460479736328, 701.3486938476562]","[166.20510864257812, 124.99653625488281, 117.02069091796875, 105.0569076538086, 142.2775421142578, 140.9482421875, 291.16009521484375, 370.9186096191406, 339.01519775390625, 267.2325439453125, 232.6705322265625, 192.79127502441406, 203.4257354736328, 276.5377197265625, 168.8637237548828, 424.0909423828125, 376.23583984375, 362.9427490234375, 394.8461608886719, 478.59259033203125, 223.36537170410156, 184.81541442871094, 172.8516387939453, 192.79127502441406, 188.8033447265625, 194.12057495117188, 190.13265991210938, 200.76712036132812, 195.44989013671875, 146.26547241210938]",[454.0973205566406],[558.35107421875],,
124033725,Gulnara,1802749.0,6465,T0,2018-09-18 03:44:36 UTC,20860311,point_extractor_by_frame,3.4.5,"[464.96875, 702.96875, 840.96875, 568.96875, 546.96875, 413.96875, 89.96875, 27.96875, 11.96875, 232.96875, 531.96875, 502.96875, 434.96875, 628.96875, 740.96875, 808.96875, 886.96875, 937.96875, 966.96875, 114.96875]","[479, 378, 310, 326, 278, 281, 492, 416, 354, 363, 194, 194, 159, 240, 134, 137, 123, 130, 158, 305]","[458.96875, 667.96875]","[546, 422]",,
