CERiT,Simbad,ASAS-SN Photometry
https://wasp.cerit-sc.cz/search?objid=J000615.77-302241.7&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A06%3A15.77+-30%3A22%3A41.7&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A06%3A15.77&dec=-30%3A22%3A41.7&radius=2
https://wasp.cerit-sc.cz/search?objid=J000039.60-191306.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A00%3A39.60+-19%3A13%3A06.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A00%3A39.60&dec=-19%3A13%3A06.0&radius=2
No match,No match,No match
https://wasp.cerit-sc.cz/search?objid=J005000.56-623808.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A50%3A00.56+-62%3A38%3A08.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A50%3A00.56&dec=-62%3A38%3A08.0&radius=2
https://wasp.cerit-sc.cz/search?objid=J004925.45%2B110358.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A49%3A25.45+%2B11%3A03%3A58.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A49%3A25.45&dec=%2B11%3A03%3A58.2&radius=2
https://wasp.cerit-sc.cz/search?objid=J000115.54%2B544456.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A01%3A15.54+%2B54%3A44%3A56.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A01%3A15.54&dec=%2B54%3A44%3A56.5&radius=2
https://wasp.cerit-sc.cz/search?objid=J003735.76%2B353414.8&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A37%3A35.76+%2B35%3A34%3A14.8&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A37%3A35.76&dec=%2B35%3A34%3A14.8&radius=2
No match,No match,No match
No match,No match,No match
https://wasp.cerit-sc.cz/search?objid=J005342.68-721712.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A53%3A42.68+-72%3A17%3A12.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A53%3A42.68&dec=-72%3A17%3A12.5&radius=2
